fold,epoch,train_loss,val_loss,lr
0,1,0.48597444355999586,0.40131135055440353,0.0035
0,2,0.4356473183396114,0.38244336017665215,0.003422914013164867
0,3,0.411377317466886,0.3668905547370151,0.003199201766140542
0,4,0.3971345403756909,0.361230989299323,0.0028507617723606453
0,5,0.3841666101552629,0.3587699982558581,0.002411701766140542
0,6,0.3744360557327397,0.3501538224156222,0.001925
0,7,0.36637131640795323,0.3471438848278774,0.001438298233859458
0,8,0.3600034016765679,0.3326433822913325,0.000999238227639355
0,9,0.35489720585978735,0.3331119738490708,0.000650798233859458
0,10,0.3516190641464353,0.3283578187865953,0.00042708598683513326
0,11,0.37331132123244715,0.3386825948006435,0.0035
0,12,0.36877200221518536,0.3483027730665501,0.003422914013164867
0,13,0.3643084750360539,0.337039405831604,0.003199201766140542
0,14,0.3569444143638073,0.33171413484510615,0.0028507617723606453
0,15,0.35117210539832744,0.330602166680709,0.002411701766140542
0,16,0.3439982308233333,0.32588791386908356,0.001925
0,17,0.33803020678284484,0.31599324283210045,0.001438298233859458
0,18,0.3329591096121946,0.31123961511122417,0.000999238227639355
0,19,0.32905867864384014,0.3158876481405951,0.000650798233859458
0,20,0.32651560302425975,0.30994132145426295,0.00042708598683513326
0,21,0.36499261679345363,0.32770392651627017,0.0035
0,22,0.35893308818578573,0.33969566146372737,0.003422914013164867
0,23,0.34593048682477784,0.32352725543631633,0.003199201766140542
0,24,0.3474180295574453,0.32304633805911,0.0028507617723606453
0,25,0.33793555050326907,0.31913477385030775,0.002411701766140542
0,26,0.33006548579964573,0.3206022322797763,0.001925
0,27,0.325452191025605,0.31051013995219534,0.001438298233859458
0,28,0.3208766814245655,0.30038534090944446,0.000999238227639355
0,29,0.31688000188593457,0.29863037647790364,0.000650798233859458
0,30,0.3144694893917191,0.2991157381969204,0.00042708598683513326
0,31,0.34190588550242257,0.3194886885176909,0.0035
0,32,0.3460016901629694,0.3182030654294677,0.003422914013164867
0,33,0.33434839551912016,0.31610823773692015,0.003199201766140542
0,34,0.33158232361125917,0.3103309092678838,0.0028507617723606453
0,35,0.3254361481592784,0.3049202874942051,0.002411701766140542
0,36,0.32011080844000445,0.3098560018288833,0.001925
0,37,0.31588458583081086,0.30325562302485426,0.001438298233859458
0,38,0.3110941645833824,0.29772726001904337,0.000999238227639355
0,39,0.30807725957737775,0.29962410229815656,0.000650798233859458
0,40,0.30605093850852616,0.2952173758771997,0.00042708598683513326
0,41,0.3377511004541272,0.3300952853739111,0.0035
0,42,0.3316248477479594,0.325513258809088,0.003422914013164867
0,43,0.3274020492700079,0.3098339809632588,0.003199201766140542
0,44,0.3295611720226572,0.32379927866965647,0.0028507617723606453
0,45,0.319906987749699,0.31958750808965264,0.002411701766140542
0,46,0.3147133904578137,0.3218928238617515,0.001925
0,47,0.3098728924902162,0.2983938896782232,0.001438298233859458
0,48,0.30587250557681495,0.298115873701476,0.000999238227639355
0,49,0.3021923050479145,0.29143178502689965,0.000650798233859458
0,50,0.30037431796734015,0.28976428395283593,0.00042708598683513326
1,1,0.4895871022916903,0.42718736364299864,0.0035
1,2,0.44425443471541665,0.3988461560382041,0.003422914013164867
1,3,0.4132510489882496,0.3784550687722693,0.003199201766140542
1,4,0.39875486653879927,0.38089268739669246,0.0028507617723606453
1,5,0.38715680430242416,0.3504903882565417,0.002411701766140542
1,6,0.3753941036308235,0.34728614700609045,0.001925
1,7,0.3670109386690237,0.33527800670755464,0.001438298233859458
1,8,0.36029778376982186,0.32933900493301344,0.000999238227639355
1,9,0.3553205870187205,0.32897752804808106,0.000650798233859458
1,10,0.3520879136216422,0.3237377282273786,0.00042708598683513326
1,11,0.41789704967170116,0.3435374977034017,0.0035
1,12,0.3692878472440081,0.3372449997884114,0.003422914013164867
1,13,0.36624140456977966,0.33398534408004915,0.003199201766140542
1,14,0.35800232208975935,0.32937608975382376,0.0028507617723606453
1,15,0.35190232115971204,0.3249393888152479,0.002411701766140542
1,16,0.34507324912169063,0.3192751951795787,0.001925
1,17,0.3391358541017335,0.31318261585034113,0.001438298233859458
1,18,0.33395706337849346,0.3141315431929078,0.000999238227639355
1,19,0.3303312316367553,0.3084972357795429,0.000650798233859458
1,20,0.327546344030272,0.30654561638430167,0.00042708598683513326
1,21,0.3545509027926681,0.3235111063583955,0.0035
1,22,0.34817250535857297,0.3686716296282113,0.003422914013164867
1,23,0.3521430663830492,0.32268702180234987,0.003199201766140542
1,24,0.3413817660993786,0.3162734755882442,0.0028507617723606453
1,25,0.33488764319120884,0.312358083392506,0.002411701766140542
1,26,0.3294945302892228,0.30456157231477937,0.001925
1,27,0.3238902543234396,0.31128439863330376,0.001438298233859458
1,28,0.3193754883180876,0.3013722680060363,0.000999238227639355
1,29,0.3156785584950269,0.29720329850578686,0.000650798233859458
1,30,0.3136632661682295,0.3018379780719877,0.00042708598683513326
1,31,0.33859682969949956,0.33775307831272783,0.0035
1,32,0.3371213278192093,0.31215510140604824,0.003422914013164867
1,33,0.33247573412005027,0.31964078419363817,0.003199201766140542
1,34,0.33213174466604467,0.31880330030642245,0.0028507617723606453
1,35,0.3243284929368803,0.306881897911575,0.002411701766140542
1,36,0.32034542339123084,0.30244437644131633,0.001925
1,37,0.31476836664041985,0.2959557803378287,0.001438298233859458
1,38,0.3109595213288743,0.30349778973581576,0.000999238227639355
1,39,0.3074224444874833,0.29259535696317723,0.000650798233859458
1,40,0.30515514631368545,0.2918027375467692,0.00042708598683513326
1,41,0.3313274737689792,0.3090151721400675,0.0035
1,42,0.34298194628367135,0.30920396650015125,0.003422914013164867
1,43,0.32792741694972743,0.316714873253154,0.003199201766140542
